year,loss
1,0.00
2,1372572.14
3,0.00
4,0.00
5,0.00
6,0.00
7,11013345.37
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,5439162.19
15,0.00
16,1062677.29
17,58466742.96
18,0.00
19,0.00
20,6839157.53
21,0.00
22,0.00
23,5374915.61
24,11822786.16
25,1395165.65
26,0.00
27,0.00
28,0.00
29,8815866.19
30,0.00
31,0.00
32,62201684.58
33,0.00
34,0.00
35,0.00
36,2120734.76
37,0.00
38,0.00
39,13071341.74
40,0.00
41,11519654.60
42,2409316.24
43,2783333.22
44,2063240.93
45,14340303.81
46,0.00
47,4441048.55
48,3240530.43
49,0.00
50,0.00
51,17943590.03
52,0.00
53,0.00
54,0.00
55,8869569.07
56,0.00
57,7025632.23
58,774227.41
59,18705409.38
60,13659517.33
61,0.00
62,0.00
63,0.00
64,0.00
65,0.00
66,10656695.01
67,0.00
68,0.00
69,14752020.73
70,0.00
71,0.00
72,3320172.54
73,1365874.76
74,8346853.68
75,0.00
76,4369692.34
77,13144573.37
78,1012135.56
79,0.00
80,0.00
81,0.00
82,14878197.11
83,540780.47
84,2437421.67
85,19872815.42
86,0.00
87,1480446.35
88,0.00
89,0.00
90,0.00
91,0.00
92,0.00
93,0.00
94,0.00
95,0.00
96,0.00
97,0.00
98,0.00
99,0.00
100,0.00
101,934485.73
102,16282696.91
103,4730083.12
104,0.00
105,0.00
106,0.00
107,9212290.60
108,0.00
109,0.00
110,12100709.42
111,2150214.23
112,0.00
113,0.00
114,0.00
115,0.00
116,0.00
117,0.00
118,13366423.74
119,0.00
120,0.00
121,0.00
122,0.00
123,3337054.55
124,0.00
125,1697147.22
126,943260.65
127,0.00
128,0.00
129,6282682.35
130,9316552.94
131,0.00
132,936180.78
133,11405412.38
134,0.00
135,0.00
136,14489041.99
137,0.00
138,0.00
139,0.00
140,0.00
141,5086492.02
142,0.00
143,0.00
144,0.00
145,0.00
146,0.00
147,14704109.60
148,0.00
149,178174.58
150,0.00
151,0.00
152,0.00
153,8023028.27
154,239112.71
155,2148468.15
156,0.00
157,29215066.63
158,72405048.51
159,61754881.89
160,0.00
161,10682579.27
162,0.00
163,0.00
164,0.00
165,0.00
166,0.00
167,6738906.54
168,201972159.42
169,0.00
170,0.00
171,0.00
172,1870549.02
173,9666133.96
174,4475433.97
175,0.00
176,0.00
177,0.00
178,0.00
179,14050728.37
180,0.00
181,20799339.67
182,0.00
183,0.00
184,12081297.22
185,33434336.37
186,0.00
187,319423.75
188,0.00
189,7574811.99
190,0.00
191,5495279.97
192,0.00
193,0.00
194,0.00
195,7898633.01
196,2165380.98
197,1914820.49
198,0.00
199,0.00
200,10098443.67
201,0.00
202,9017401.13
203,40131423.96
204,86601351.56
205,0.00
206,0.00
207,1863251.55
208,0.00
209,0.00
210,0.00
211,9980329.79
212,21274478.93
213,28501368.13
214,0.00
215,6500618.82
216,4288213.80
217,0.00
218,4594182.74
219,0.00
220,18117248.23
221,0.00
222,0.00
223,0.00
224,7064242.79
225,0.00
226,1721606.36
227,27831308.83
228,0.00
229,0.00
230,0.00
231,953130.07
232,0.00
233,0.00
234,30186518.61
235,61236240.50
236,0.00
237,28857493.52
238,0.00
239,6144107.45
240,0.00
241,0.00
242,2362400.54
243,18622688.73
244,0.00
245,0.00
246,0.00
247,0.00
248,0.00
249,28973514.42
250,2296067.65
251,0.00
252,2805801.57
253,0.00
254,0.00
255,0.00
256,3298316.95
257,0.00
258,0.00
259,0.00
260,0.00
261,0.00
262,0.00
263,0.00
264,2761719.97
265,0.00
266,3487854.47
267,0.00
268,0.00
269,0.00
270,0.00
271,34711039.57
272,0.00
273,0.00
274,0.00
275,46038372.35
276,20022780.21
277,0.00
278,0.00
279,0.00
280,0.00
281,0.00
282,0.00
283,5055535.50
284,0.00
285,854975.69
286,0.00
287,0.00
288,7910378.22
289,2271779.42
290,0.00
291,0.00
292,0.00
293,0.00
294,0.00
295,0.00
296,3204905.23
297,0.00
298,0.00
299,2728022.23
300,782654.43
301,0.00
302,0.00
303,0.00
304,0.00
305,1362431.98
306,0.00
307,0.00
308,0.00
309,0.00
310,0.00
311,0.00
312,0.00
313,0.00
314,0.00
315,0.00
316,0.00
317,0.00
318,0.00
319,0.00
320,0.00
321,0.00
322,0.00
323,370636.82
324,9997852.79
325,29419704.73
326,0.00
327,0.00
328,4916304.56
329,2551061.04
330,0.00
331,40431512.20
332,3167300.67
333,13710435.60
334,4927847.22
335,0.00
336,13823918.38
337,0.00
338,0.00
339,0.00
340,0.00
341,0.00
342,0.00
343,0.00
344,13141819.10
345,0.00
346,0.00
347,6540680.37
348,0.00
349,0.00
350,0.00
351,9347211.25
352,13936686.37
353,0.00
354,0.00
355,53036259.70
356,0.00
357,7316590.60
358,6756196.39
359,0.00
360,704871.03
361,0.00
362,7371977.82
363,0.00
364,305403.79
365,4756367.22
366,0.00
367,35474318.79
368,0.00
369,0.00
370,0.00
371,0.00
372,0.00
373,0.00
374,0.00
375,0.00
376,28888023.33
377,0.00
378,0.00
379,0.00
380,23363833.99
381,7882145.95
382,0.00
383,0.00
384,989772.29
385,0.00
386,0.00
387,0.00
388,0.00
389,0.00
390,2559162.88
391,0.00
392,11308810.67
393,0.00
394,0.00
395,2294834.34
396,0.00
397,2232646.32
398,0.00
399,0.00
400,1582897.23
401,3594180.43
402,0.00
403,0.00
404,0.00
405,12427515.46
406,0.00
407,4415118.27
408,0.00
409,0.00
410,0.00
411,0.00
412,0.00
413,0.00
414,630960.51
415,0.00
416,0.00
417,20188428.23
418,1883397.18
419,27646525.59
420,0.00
421,0.00
422,0.00
423,0.00
424,16609739.19
425,0.00
426,0.00
427,0.00
428,27747967.21
429,0.00
430,3645270.27
431,2730853.95
432,0.00
433,14267257.77
434,18348051.05
435,1228060.00
436,0.00
437,2922188.24
438,1297514.09
439,0.00
440,0.00
441,0.00
442,2656168.46
443,0.00
444,0.00
445,0.00
446,0.00
447,0.00
448,0.00
449,0.00
450,0.00
451,0.00
452,7172172.47
453,7878925.08
454,0.00
455,1297170.37
456,7682214.89
457,10815297.55
458,0.00
459,32701099.49
460,45586810.11
461,2207580.43
462,0.00
463,11293047.84
464,0.00
465,44132398.03
466,0.00
467,6757120.02
468,2801981.41
469,0.00
470,10588362.39
471,0.00
472,0.00
473,0.00
474,0.00
475,2277847.60
476,9907606.84
477,0.00
478,14496816.00
479,0.00
480,0.00
481,0.00
482,0.00
483,18192887.00
484,0.00
485,0.00
486,161785.55
487,0.00
488,0.00
489,0.00
490,1070217.09
491,0.00
492,0.00
493,0.00
494,0.00
495,0.00
496,5281075.53
497,0.00
498,5770227.31
499,19566944.30
500,0.00
501,0.00
502,1508981.24
503,1848703.45
504,1375389.80
505,0.00
506,0.00
507,0.00
508,4431160.12
509,25979360.08
510,0.00
511,32376960.23
512,0.00
513,0.00
514,0.00
515,31323453.04
516,0.00
517,0.00
518,0.00
519,0.00
